Title,Authors,Description,Category,Publisher,Publish Date,Price
"Prudens futuri: The US Army War College, 1901-1967","By Pappas, George S.",,,Alumni Association of the US Army War College,"Sunday, January 1, 1967",Price Starting at $6.24
Joshua: A Parable for Today,"By Girzone, Joseph F.",An allegorica tale about a quiet and unassuming young man whose powerful presence changes the lives of his small town neighbors,,MacMillan Publishing Company.,"Tuesday, September 1, 1987",Price Starting at $5.29
Things Not Seen and Other Stories,"By Williams, Lynna",," Fiction , General",Little Brown & Co,"Friday, May 1, 1992",Price Starting at $5.29
Putting the One Minute Manager to Work: How to Turn the 3 Secrets into Skills,"By Blanchard, Kenneth H. and Lorber, Robert",,,Jossey-Bass Inc Pub,"Wednesday, February 1, 1984",Price Starting at $5.29
The Spiritual Life of Children,"By Coles, Robert","In this eighth and final volume in his Pulitzer Prize­winning Children of Crisis series, Coles examines the religious and spiritual lives of children. By using children's own words and pictures, Coles presents their deepest feelings."," Psychology , Developmental , Child",HarperOne,"Tuesday, October 1, 1991",Price Starting at $4.99
Constancia and Other Stories for Virgins,"By Fuentes, Carlos and Christensen, Thomas (TRN)","Renowned as a novelist of unsurpassed invention, Carlos Fuentes here presents his second collection of stories to appear in English. Where his first,Burnt Water, published in 1980, had as its underlying theme Mexico City itself,Constancia and Other Stories for Virgins extends its imaginative boundaries out to Savannah, to Cadiz, to Glasgow, to Seville and Madrid, both past and present. This new collection is more mysterious, more magical, too, than its predecessor, and in its five related stories Fuentes comes closer to the registers of language and feeling that he explored so memorably inAura. It reveals Fuentes at the height of his powers--bold, erudite, enthralling.In the title story, a man discovers his wife's secret complicity with the Russian actor who is their neighbor--a complicity that includes not just a previous life but possibly a previous death as well. He finds himself ""a mediator . . . a point between one sorrow and the next, between one hope and the next, between two languages, two memories, two ages, and two deaths."" In ""La Desdichada,"" two students steal--and fall in love with--a store-window mannequin. In ""The Prisoner of Las Lomas,"" a wealthy lawyer in possession of a powerful secret is held hostage by the past he has attempted to subvert and keep at bay. The celebrated bullfighter whose fame is the theme of ""Viva Mi Fama"" steps from the present into a past immortalized by Goya's portrait of the matador Pedro Romero; and the architects who are the ""Reasonable People"" of that story find themselves drawn into the irrational mysteries not only of religious fervor but of their famous mentor's identity--they discover ""there are no empty houses,"" only a present fraught with the past.Though each of these novella-length stories offers compelling evidence of Fuentes's talent for narrative free rein as well as for containment and closure, they are also brilliantly interwoven. Readers of his earlier work, especially of his acclaimed ribald epic, Christopher Unborn, will recognize with pleasure Fuentes's undiminished mastery of recurrent images and themes, and all readers will delight in the witty and evocative changes he rings on them. For those few readers who do not yet know the work of Mexico's foremost man of letters, these stories offer them the full gift of his imaginative resourcefulness."," Fiction , Short Stories (single author)","Farrar, Straus and Giroux","Sunday, April 1, 1990",Price Starting at $5.29
May I Have This Dance?,"By Rupp, Joyce and Veeder, Judith (ILT)",," Religion , Devotional",Ave Maria Pr,"Wednesday, July 1, 1992",Price Starting at $4.89
"Meditations from Conversations with God: An Uncommon Dialogue, Book 1 (Conversations with God Series)","By Walsch, Neale Donald",," Religion , Meditations",TarcherPerigee,"Monday, September 1, 1997",Price Starting at $5.29
Washington bowed,"By McKeldin, Theodore R",,,Maryland Historical Society,"Sunday, January 1, 1956",Price Starting at $16.16
Chagall,"By Compton, Susan P.",," Art , General","""Harry N. Abrams, Inc.""","Wednesday, May 1, 1985",Price Starting at $10.99
Ride a Pale Horse,"By MacInnes, Helen",," Fiction , Mystery & Detective , General",Harcourt,"Monday, October 1, 1984",Price Starting at $5.29
Listening to Prozac: A Psychiatrist Explores Antidepressant Drugs and the Remaking of the Self,"By Kramer, Peter D.","Kramer (psychiatry, Brown U.) writes on ""the capacity of modern medication to allow a person to experience, on a stable and continuing basis, the feelings of someone with a different temperament and history,"" as ""one born with a different genome and exposed to a more benign world in childhood""--p.195. Annotation copyright Book News, Inc. Portland, Or."," Psychology , Psychopathology , Depression",Viking Adult,"Tuesday, June 1, 1993",Price Starting at $4.99
"The Big Garage on Clear Shot: Growing Up, Growing Old, and Going Fishing at the End of the Road","By Bodett, Tom",," Fiction , General",William Morrow & Co,"Saturday, September 1, 1990",Price Starting at $4.99
Life Stories,"By Newbold, Heather (EDT)","""This unusual collection of conversations with leading environmental thinkers breaks down the conventional separation between thinking and living. The presentations of ecological ideas are not only superior but often eloquent and powerful, and incorporate the latest information available. Since many of the chapters give quite full accounts of the interviewees' careers, the book will also provide inspiration to young readers."" --Ernest Callenbach, author of Ecology: A Pocket Guide""The recurring theme of environmental emergency comes through loud and clear in all of the interviews, but this book also shows that it is people who make things happen, not the great gray 'they' or 'we.' We learn exactly who it was that discovered the hole in the ozone layer and who invented the ideas of Gaia and the Population Bomb. . . . If I had my way I would make this book required reading for students across all disciplines, because its message is profound, urgent, compelling, and relevant to everyone.""--Anthony J. F. Griffiths, University of British Columbia, Winner of the Genetics Society of Canada Award of Excellence""Life Stories should be required reading. The reverence for life expressed by these heroes is deeply moving. Their fierce determination ought to inspire all of us as we confront the environmental challenges of the new millennium."" --Denis Hayes, International Chair, Earth Day 2000""We start the twenty-first century with a heightened awareness that our planet is under stress. Life Stories illustrates that the human spirit has the capacity to set forces in motion that will save our habitat. Heather Newbold introduces us to scientists who have probed the mysteries of our natural systems and taken action so our Earth can heal itself. As we meet them, our own hope for the future is inspired.""--Peter A. A. Berle, host of The Environment Show on Public Radio""These mini-autobiographies are captivating, challenging, and worrisome. We can successfully meet the challenge, but will we? This is attention-grabbing stuff. Once you start reading this book it will capture and hold you to the last page.""--Senator Gaylord Nelson, founder of Earth Day"," Science , Environmental Science",University of California Press,"Saturday, April 1, 2000",Price Starting at $4.99
Houghton Mifflin Invitations to Literature: Student Anthology Level 1.3 Share 1997 (Invitations to Lit 1997),By Hm (COR),," Juvenile Nonfiction , Language Arts , General",Houghton Mifflin,"Tuesday, October 1, 1996",Price Starting at $5.94
Grow Greener: Ten Steps to a Richer Life,"By Hoxton, Rob",,,"Robinson Hoxton Publishing, LLC","Thursday, November 1, 2001",Price Starting at $5.29
"Frames of Reference: Looking at American Art, 1900-1950: Works from the Whitney Museum of American Art","By Fraser, Kennedy, Whitney Museum of American Art (COR), Weinberg, Adam D., and Venn, Beth",," Art , History , General",University of California Press,"Saturday, January 1, 2000",Price Starting at $6.42
Remembering Main Street: An American Album,"By Ross, Pat","These evocative biographies of ten still-authentic towns will delight preservationists, travel and Americana buffs, and all who have a fondness for American social history and popular culture.Pat Ross grew up in Main Street America, and here she returns to explore how Main Street itself grew up - commercially, culturally, and architecturally. By investigating the histories of the corner drugstore or courthouse, for example, or by profiling local merchants, artists, and town legends - both heroes and scoundrels - the author evokes the special spirit of these towns, showing how each represents some phase of American history and how each has weathered adversity and given new life to its economy."," History , United States , General",Studio,"Tuesday, November 1, 1994",Price Starting at $10.99
Spicy,"By Hayes, Alan",,,Harpercollins Publisher,"Thursday, December 1, 1994",Price Starting at $4.99
Pope John Paul II,"By Szulc, Tad",," Biography & Autobiography , Religious",Scribner,"Saturday, April 1, 1995",Price Starting at $4.99
"The Virgin Homeowner: The Essential Guide to Owning, Maintaining, and Surviving Your Home","By Papolos, Janice",," House & Home , Reference",Penguin Books,"Monday, March 1, 1999",Price Starting at $5.29
"Fight Fat After Forty: The Revolutionary Three-Pronged Approach That Will Break Your Stress-Fat Cycle and Make You Healthy, Fit, and Trim for Life","By Peeke, Pamela","It's a fact: stress makes you fat. Renowned clinician and scientist Dr. Pamela Peeke goes beyond diet and exercise with a lifestyle program that shows women how to stop being diet ""POWs"" (""Prisoners Of Weight"") or victims of ""Toxic Stress"" and how to evolve into physically and mentally stress-resilient individuals. Peeke helps women identify their stress-eating profiles (Are you a stress-overeater? A stress-undereater?) and explains that to remove weight, you have to lift weight. She explains what to eat and, equally as important, when to eat by navigating the afternoon ""CortiZone,"" the hours of highest vulnerability to stress eating. Learn how to put it all together through the fine art of regrouping.Women can tailor this accessible program to their individual needs using Peeke's three behavior templates:* Stress-resilient nutrition* Stress-resilient physical activity* Stress-resilient regroupingDr. Peeke's program is a must for women who want to break the stress-fat cycle that has thickened their after-forty waistlines."," Health & Fitness , Diet & Nutrition , Diets",Penguin Books,"Tuesday, May 1, 2001",Price Starting at $4.99
Leadership Presence,"By Halpern, Belle Linda and Lubar, Kathy",," Business & Economics , Motivational",Avery,"Friday, October 1, 2004",Price Starting at $5.29
The Golden Christmas Tree,"By Weisgard, Leonard (ILT) and Wahl, Jan",A simple yet poignant Christmas story tells of the joy and cheer visited upon the world by the animals as they gather to decorate a holiday tree," Juvenile Fiction , General",Golden Books,"Saturday, October 1, 1988",Price Starting at $4.99
The Age of Uncertainty,"By Galbraith, John Kenneth","The distinguished diplomat and economist surveys the ideas and influence of economists and social philosophers, from Adam Smith's day to the present, contrasting the certainties in nineteenth-century economic thought with the uncertainty of today's"," Business & Economics , General",Houghton Mifflin Harcourt,"Saturday, January 1, 1977",Price Starting at $10.99
Global Literacies: Lessons on Business Leadership and National Cultures,"By Rosen, Robert (EDT), Digh, Patricia, Singer, Marshall, and Phillips, Carl","Throughout the world, languages differ, but the business questions are the same. In French and Japanese, Hebrew and English, executives are asking, ""How can I survive and thrive in the borderless, global marketplace?""  For answers, the authors of Global Literacies went straight to the leaders themselves -- the CEOs of thousands of corporations around the globe.  Two lessons emerged. First, there are leadership universals that every executive and manager needs to practice in order to be world-class at home and abroad. The second defied conventional wisdom: in the borderless economy, culture doesn't matter less, it matters more.  Around the world, business leaders apply their own experiences -- personal, professional, and cultural -- to an ever-expanding world of Dutch colleagues, Brazilian suppliers, Taiwanese manufacturers, and Chinese competitors. These leaders are trying to become globally literate...and Global Literacies is for, and about, them.  No one knows this better than CEOs of successful global companies such as Japan's Canon, Sweden's Ericsson, Taiwan's Acer Computers, the U.K.'s British Telecommunications, and U.S.-based Coca-Cola.  In Global Literacies, a team of researchers led by Robert Rosen, Ph.D., of Healthy Companies International, and Watson Wyatt Worldwide have produced the first model of international business success based on a wide-ranging landmark study of global leaders and their world-class companies. Global Literacies documents the exclusive results of a worldwide survey of over one thousand senior executives and in-depth interviews with CEOs of seventy-eight companies -- companies representing 3.5 million employees in more than 200 countries, and with more than $725 billion in annual sales.  Global Literacies offers compelling new insights and business tools:  The Global Leadership Universals  Learn the new literacies of business:  * Personal Literacy -- understanding and valuing yourself * Social Literacy -- engaging and challenging people * Business Literacy -- focusing and mobilizing your business * Cultural Literacy -- valuing and leveraging cultural difference  The Global Success Quotient  Learn which are the most globally active, financially successful companies -- and countries -- in the world, understand how they got there, and apply those learnings to your own organization.  The Cultures of Twenty-first-Century Business  Develop ways to see global challenges and opportunities, think with an international mindset, act with fresh global-centric leadership behaviors, and mobilize world-class companies -- whether you're a multinational giant, a domestic manufacturer, or a local community organization.  National Profiles  With sophisticated profiles of thirty countries, and survey data from eighteen national cultures -- from the Tolerant Traders of the Netherlands to China's Ancient Modernizers and the Optimistic Entrepreneurs of the United States, Global Literacies is a groundbreaking and fascinating work on the most important issues in the world of business today."," Business & Economics , Management",Simon & Schuster,"Wednesday, November 1, 2000",Price Starting at $4.99
Results: The Key to Continuous School Improvement,"By Schmoker, Michael J.",," Education , Educational Policy & Reform , General",Assn for Supervision & Curriculum,"Monday, April 1, 1996",Price Starting at $4.99
Trailside Guide: Fly Fishing,"By Hildebrand, Ron (ILT) and Merwin, John","Norton proudly reissues these best-selling guides with fully revised ""Sources &  Resources"" sections (including where to  find the Web sites, gear, services, books,  clubs, and organizations that make for foolproof outings); updates to reflect the latest in gear  technology, wilderness medicine, and first aid;  and advances in techniques.You can take it  with you: Trailside Guides are designed to be  used on the trail. Their handy size makes them  easy to take along on outdoor  adventures.Picture this: Trailside Guides show  you how it's done. Each book has more than 100  color photographs and dozens of informative,  full-color technical illustrations you'll refer to again and again.Buying Guide: Each Guide has  all the information readers need to make  informed decisions about what gear is available, and what they should buy.Step-by-step: Tutorials take readers through every aspect of a given  outdoor activity. Each Guide covers planning and preparing for a trip, getting in shape,  technique, safety, and first-aid tips, and how  to have more fun along the way!Easy to use:  Trailside Guides provide information quickly.  Every book contains detailed illustrations,  information-packed sidebars, and a complete  index and bibliography.Technique tips: Any  physical activity is more fun when it's done  right. Trailside Guides are written by experts  and contain lucid explanations that help the  reader quickly achieve proficiency.It's a  big world out there. Get into it with the  Trailside Guides."," Sports & Recreation , Fishing",W. W. Norton & Company,"Monday, January 1, 1996",Price Starting at $19.25
I Wish I Had a Red Dress,"By Cleage, Pearl","Joyce Mitchell was widowed far too young when her beloved husband, Mitch, died in a tragic accident five years ago. Since then she's kept her hands full and her mind and heart occupied by running The Sewing Circus, an all-girl group she founded to provide badly needed services like day care and job counseling to young women, many of whom are single mothers. More important, The Circus is a place for lively, wide-ranging, heart-to-heart discussions that will help members grow into what Joyce likes to call ""twenty-first-century free women.""All in all, Joyce has a full and rich life. She has her work, her family, her friends, and her town. But there are some nights when she crawls into bed alone and has to admit that something is missing. What she doesn't have is that red dress she keeps dreaming about or a social life that would accommodate it even if she braved the mail and bought one. To further complicate matters, she may not have The Sewing Circus much longer, as the state legislature has decided not to fund the group's vital but hard-todefine work with young women who are too often regarded as problems rather than possibilities.Feeling defeated and pessimistic, Joyce reluctantly agrees to keep a date for dinner at the home of her best friend, Sister -- a reverend like no other-and finds not only a perfect meal but a tall, dark stranger named Nate Anderson. Nate has just joined the administration at the high school and his unexpected presence in Idlewild touches a chord in Joyce that she thought her heart had forgotten how to play. Nate feels the same immediate connection, but both have enough experience with broken hearts to take it real slow. Besides, they've got too much work to do to concentrate on falling in love....But life moves at its own pace, and as Sister says, ""if you want to make God laugh, make plans."" Particularly when it comes to matters of the heart. Joyce decides the trick is to stay focused and to remember that nothing is as sexy as the truth, the whole truth, and nothing but the truth, especially if you tell it while you're wearing a perfect red dress...."," Fiction , Literary",William Morrow,"Sunday, July 1, 2001",Price Starting at $5.29
The economics of macro issues,"By Miller, Roger LeRoy",,,West Publishing Co.,"Saturday, January 1, 1983",Price Starting at $5.29
Family Guide to Natural Medicine,By Reader's Digest Association,," Health & Fitness , Naturopathy",Readers Digest,"Saturday, May 1, 1993",Price Starting at $8.79
Killer Diller,"By Edgerton, Clyde",,,Algonquin Books,"Tuesday, January 1, 1991",Price Starting at $4.99
Herbal Medicine,"By Buchman, Dian Dincin",,,Random House Value Publishing,"Tuesday, November 1, 1988",Price Starting at $5.29
The Visitation,"By Reidy, Sue","The Flynn girls, just two of a seemingly endless number of Flynn children, are naturally curious about where their little siblings come from. Well versed in the bizarre lives and gruesome deaths of their favorite saints, they have yet to crack the mysteries of the more earthly concerns of procreation and human relations. Blessed enlightenment comes, however, when the Virgin Mary appears and asks them to buy her suitable clothes for her earthly mission -- a campaign for birth control. Set against the backdrop of the impending Vatican II decisions that wreaked havoc on many Catholic lives and the sprawl of the more permissive 1960s, this crackling, smart, and thoughtful novel is sure to delight."," Fiction , General",Scribner,"Monday, December 1, 1997",Price Starting at $5.29
Big Kitchen Instruction Book,"By Zemke, Deborah (ILT) and Brown, Rosemary Carleton",," Cooking , Regional & Ethnic , American , General",Gramercy,"Friday, September 1, 2000",Price Starting at $7.29
"One World, One Heart",By Susan Polis Schutz,,,Blue Mountain Press,"Monday, January 1, 2001",Price Starting at $4.99
Reengineering the Corporation,"By Hammer, Michael and Champy, James","Reengineering the Corporation, the international bestseller is the pioneering book on the most important topic in business circles today: reengineering--the radical redesign of a company's processes, organization, and culture to achieve a quantum leap in performance. Michael Hammer and James Champy show how some of the world's premier corporations are reengineering to save hundreds of millions of dollars a year, achieve unprecedented levels of customer satisfaction, and speed up and make more flexible all aspects of their operations."," Business & Economics , Management",HarperBus,"Tuesday, June 1, 1999",Price Starting at $5.29
What My Parents Did Right,"By Gaither, Gloria (COM)",," Religion , Christian Life , Family",Star Song Pub Co,"Thursday, August 1, 1991",Price Starting at $4.99
The Man's Health Sourcebook,"By Dashe, Alfred M.","Describes the male physiogonomy, covers symptoms of illness and options for treatment, and presents tips for improving the chances of living a long, healthy life."," Medical , General",Lowell House,"Tuesday, October 1, 1996",Price Starting at $5.64
High Tech Illustration,"By Martin, Judy",," Design , Graphic Arts , Illustration",North Light Books,"Friday, September 1, 1989",Price Starting at $6.12
Chinese Roundabout: Essays in History and Culture,"By Spence, Jonathan D.","The spirit of adventure is at the heart of Jonathan Spence's widely acclaimed scholarship on the modern history of China. This vitality, fleshed out with deep research and attired in elegant style, has drawn countless readers to subjects otherwise approachable only by experts. Through eight books, from the story of the early eighteenth century Manchu bondservant Ts'ao Yin to his magisterial history, The Search for Modern China, Spence has made the excitement of intellectual discovery palpable for us all. In the course of his fruitful career Spence has written many shorter pieces as well, and the best of these are collected for the first time in Chinese Roundabout. Here the reader will meet Arcadio Huang, the Chinese linguist and Christian convert who moves from south China to Enlightenment Paris, marries a French woman, and in conversations with Montesquieu becomes the likely source for the Persian Letters. The poignant story of Huang's hard-won success and final defeat by poverty and disease illustrates the perils of crossing cultures. Spence's delight in intellectual risk animates his Shakespearean approach to the life of the great Qing emperor in ""The Seven Ages of K'ang-hsi."" Spence's great learning informs an authoritative essay on China's tragic experience with opium. Following the social process of addiction from the cultivation of poppies and the processing of the drug through its introduction by the British into China, its widespread distribution and consumption by Chinese, and the public struggle to suppress opium use, Spence explores issues of historical and contemporary interest. In an equally substantial piece he focuses on the cultural dimensions of food in Qing China, illuminating the marginal diet of a peasantry constantly threatened by famine as well as the grand banquets of the literati and the imperial household. In the work of 25 years, Spence has established himself as a brilliant interpreter of modern Chinese history. His books—among them the recent national bestseller The Search for Modern China—exhibit uncommon imagination, unobtrusive learning, verve, and elegance. These same qualities animate the essays gathered here."," Social Science , Customs & Traditions","W. W. Norton & Company, Inc.","Thursday, April 1, 1993",Price Starting at $5.35
"Behind closed doors;: The secret history of the cold war,","By Zacharias, Ellis M",,,Putnam,"Sunday, January 1, 1950",Price Starting at $5.67
"Production & Operations Management : Quality, Performance, and Value","By Evans, James R.",," Business & Economics , General",West Group,"Wednesday, January 1, 1997",Price Starting at $10.99
Shackleton's Boat Journey,"By Worsley, Frank Arthur","A first-hand account of the voyage to safety, led by Worsley, of six men stranded for six months on the Antarctic ice pack when their expedition's ship was crushed by the ice",,W W Norton & Co Inc,"Thursday, January 1, 1987",Price Starting at $5.29
An Atlas of the Difficult World: Poems 1988-1991,"By Rich, Adrienne Cecile","In this, her thirteenth book of verse, the author of ""The Dream of a Common Language"" and ""Snapshots of a Daughter-in-Law"" writes of war, oppression, the future, death, mystery,  love and the magic of poetry."," Poetry , American , General",W. W. Norton & Company,"Sunday, December 1, 1991",Price Starting at $4.99
Are You Considering Psychoanalysis?,"By Horney, Karen (EDT)","Explains the nature, schools, procedures, and goals of psychoanalysis to assist the prospective patient in understanding, accepting, and successfully experiencing the therapeutic process"," Psychology , General","W. W. Norton & Company, Inc.","Sunday, April 1, 1962",Price Starting at $5.29
"The Splendid Century: French Art: 1600-1715 - exhibition at The National Gallery of Art,  The Toledo Museum of Art, The Metropolitan Museum of Art, 1960-1961",By Text by Theodore Rousseau,,,The Metropolitan Museum of Art,"Friday, January 1, 1960",Price Starting at $4.99
Blue Guide: Oxford and Cambridge (Blue Guides (Only Op)),By Geoffrey Tyack,,,A & C Black (Publishers) Ltd,"Saturday, April 1, 1995",Price Starting at $5.99
Daughter of Regals & Other Tales,"By Donaldson, Stephen R.","Tells of magicians, unicorns, wizards, an unusual animal preserve, witches, and parallel worlds"," Fiction , Fantasy , General",Del Rey,"Thursday, March 1, 1984",Price Starting at $5.29
Get Thee To a Punnery,"By Lederer, Richard","Get Thee to a Punnery proves that the pun is mightier than the sword . . . and here are sidesplitting puns of every color, stripe and persuasion to suit every whim. Even if you don't know that your humerus is your funny bone, this is the book for you.The Time of the Signs:On a diaper service truck: Rock a dry baby.  On a plumber's service truck: A flush is better than a full house.  Show me where Stalin is buried and I'll show you a communist plot! -Edgar BergenQuiche me-I'm French! Hangover-the wrath of grapes Work is the ruin of the drinking classes. -Oscar Wilde"," Humor , Form , Anecdotes & Quotations",Gibbs Smith,"Saturday, October 1, 1988",Price Starting at $5.29
Too Young to Retire: 101 Ways To Start The Rest of Your Life,"By Stone, Howard and Stone, Marika","“This little gem of a book offers sage advice on everything from downsizing to diet and exercise.”—The New York TimesWith Americans living longer, healthier lives, the conventional idea of retirement is obsolete. Millions of Americans are working past the age of sixty-five—not because they have to, but because they want to. Many, like Marika and Howard Stone, discover second careers, start their own businesses, or go back to school.Too Young to Retire offers inventive and exciting retirement alternatives to help readers find their labors of love, inner activists, or how to make a home away from home.  Enlightening exercises and workbook pages as well as a comprehensive list of publications, home exchange organizations, and websites are included to assist readers in making meaningful choices. For those who aren’t ready to throw in the towel, Too Young to Retire is the essential resource for discovering what comes next."," Self-help , Aging",Plume,"Thursday, April 1, 2004",Price Starting at $5.29
Zillionaire's Daughter,"By Sorel, Edward","A french zillionaire and his daughter cross the Atlantic in the S.S. ""Gigantic,"" where she finds her unexpected destiny",,Warner Juvenile Books,"Sunday, January 1, 1989",Price Starting at $5.29
Macintosh programming primer,"By Mark, David, Reed, Cartwright",,,Addison-Wesley Pub. Co,"Sunday, January 1, 1989",Price Starting at $6.42
Ireland's Women: Writings Past and Present,"By Kennelly, Brendan, Donovan, Katie, and Jeffares, A. Norman","This is the first volume of its kind to present a collection of writings by and about Ireland's women. From Queen Maeve of Connaught to President Mary Robinson, this book presents Irish women as their compatriots—men and women both—have described and interpreted them.Modern Irish women are outspoken about the issues that rouse their passion—love and sex, marriage and divorce, abortion and adoption. As Katie Donovan says in her introduction: ""Our selection is intended to give the reader a taste of the varied spectrum, from the courtly praise of men to swinish male chauvinism; from women's declarations of outrage against church and state to their celebrations of childbirth and motherhood."" This book celebrates the vast range of women's thought and activity, their spirituality, and their passions.The women who appear in this collection are both well known and unknown, real and invented. The editors have drawn freely upon translations of the mythological tales and later Irish poems, upon letters, biographies, and newspapers as well as prose and poetry, plays, recordings and songs, in order to present a complex multilayered and richly rewarding view of Ireland's women."," Fiction , Short Stories (single author)",W. W. Norton & Company,"Thursday, February 1, 1996",Price Starting at $5.30
Currier and Ives Four Seasons Cookbook,By NATAHANIEL CURRIER and JAMES MERRITT,Illustrations by Currier & Ives adorn a modern collection of seasonal recipes," Cooking , General",Bdd Promotional Book Co,"Friday, November 1, 1991",Price Starting at $4.99
Testimonies: A Novel,"By O'Brian, Patrick","Delmore Schwartz, the most influential critic in postwar America, wrote of Patrick O'Brian's first novel Testimonies: ""A triumph...drawn forward by lyric eloquence and the story's fascination, [the reader] discovers in the end that he has encountered in a new way the sphinx and the riddle of existence itself."" Schwartz' imagination was fired by this sinister tale of love and death set in Wales, a timeless story with echoes of Thomas Hardy and Mary Webb.Joseph Pugh, sick of Oxford and of teaching, decides to take some time off to live in a wild and beautiful Welsh farm valley. There he falls physically ill and is nursed back to health by Bronwen Vaughn, the wife of a neighboring farmer. Slowly, unwillingly, Bronwen and Pugh fall in love;' and while that word is never spoken between them, their story is as passionate and as tragic as that of Vronsky and Anna Karenina."," Fiction , Romance , Historical , General",W. W. Norton & Company,"Saturday, July 1, 1995",Price Starting at $4.99
"Career Guide: Opportunities and Resources for You (The Ebony Success Library, V. 3)",By Ebony,," Business & Economics , General",Johnson Pub Co Inc,"Friday, June 1, 1973",Price Starting at $8.79
The downy waterfowl of North America,By Colleen Helgeson Nelson,,,Delta Station Press,"Friday, January 1, 1993",Price Starting at $8.51
Cooking for Jack,"By Nicholson, Jack, Baratta, Tommy, Baratta, Marylou, and Nicholson, Jack (INT)",," Cooking , General",Pocket Books,"Friday, November 1, 1996",Price Starting at $4.99
How to Become a Successful Consultant in Your Own Field,By Prima,"Tells how to start a consulting business, discusses fees, contracts, proposals, ethics, competition, and government work, and offers advice on finding clients"," Business & Economics , Careers , General",Prima Lifestyles,"Sunday, January 1, 1989",Price Starting at $4.99
"Sophie Du Pont: A Young Lady in America : Sketches, Diaries, and Letters, 1823-1833","By Low, Betty-Bright and Hinsley, Jacqueline",,,"""Harry N. Abrams, Inc.""","Saturday, August 1, 1987",Price Starting at $8.79
MBO for nonprofit organizations,"By McConkey, Dale D",,,AMACOM,"Wednesday, January 1, 1975",Price Starting at $4.99
"The Wrinkle Cure: Unlock the Power of Cosmeceuticals for Supple, Youthful Skin","By Perricone, Nicholas",," Health & Fitness , Beauty & Grooming",Grand Central Publishing,"Tuesday, May 1, 2001",Price Starting at $4.99
Step-By-Step Container Gardening: 50 Recipes for Creating Glorious Pots and Boxes,"By Donaldson, Stephanie",," Gardening , General",Smithmark Pub,"Wednesday, March 1, 1995",Price Starting at $5.29
The New Grove Modern Masters (Composer Biography Series),"By Lampert, Vera, Kemp, Ian, White, Eric White",,,W W Norton & Co Inc,"Monday, October 1, 1984",Price Starting at $5.29
City of Gold,"By Deighton, Len",,,HarperCollins,"Monday, June 1, 1992",Price Starting at $5.47
Mother of Pearl,"By Haynes, Melinda","In a small Mississippi town during the late 1950s, Even Grade, a twenty-eight-year-old Black man who grew up as an orphan, and Valuable Korner, the teenage white daughter of the local prostitute, search for love, family, and commitment as their lives intersect with that of Joody Two Sun, a seer who becomes Even's lover"," Fiction , Literary",Hyperion,"Tuesday, June 1, 1999",Price Starting at $4.99
Icons,"By Winthrop, Caroline","The world of diplomacy and international intrigue is revealed in this novel about Judith Marlow, a diplomat's wife and the daughter of a notorious defector to the Soviets, and Aleksandr Dmitrov, the Russian officer she loves"," Fiction , General",St Martins Pr,"Monday, January 1, 1990",Price Starting at $5.58
The View from a Monastery,"By Tvedten, Benet",," Religion , Monasticism",Riverhead Books,"Saturday, May 1, 1999",Price Starting at $4.99
Who Needs God,"By Kushner, Harold S.",," Religion , Spirituality",Summit Books,"Friday, September 1, 1989",Price Starting at $4.99
Loving Thoughts,"By Rice, Helen Steiner",," Poetry , General",Fleming H Revell Co,"Thursday, November 1, 1984",Price Starting at $4.99
Kirkpatrick Mission (Diplomacy Wo Apology Ame at the United Nations 1981 to 85,"By Gerson, Allan","Describes how, as ambassador to the United Nations, Jeane Kirkpatrick helped restore our nation to its rightful place as a respected international leader"," Political Science , General",Free Press,"Monday, July 1, 1991",Price Starting at $5.29
Bringing up Kids American Style,"By Novello, Joseph",,,A & W Publishers,"Thursday, January 1, 1981",Price Starting at $12.99
Maryland Today,"By Bard, Harry",,,Oxford Book Co.,"Friday, January 1, 1954",Price Starting at $21.83
Deployment: Hiding Behind Power Struggles as a Character Defense (Psychoanalytic Therapy Series),"By Moses-Hrushovski, Rena","Embattled, feeling victimized and entitled, many patients once again seek out help despite previous years of unsuccessful psychotherapy or analysis. Feeling frozen and unable to change and putting up a seemingly impenetrable wall of resistance, such patients are among the most difficult to reach. In this original work, Israeli psychologist Rena Moses-Hrushovski describes her therapeutic endeavors with such patients. She discovered in many such people a specific form of narcissistic character resistance which she terms deployment. Deployment is a vigilant use of the balances of interpersonal power designed to ward off intolerable feelings, predominantly of envy, shame, and guilt. Patients who use deployment put themselves in the role of the victim and then battle against perceived injustice, abuse, and oppression for the right to be understood and accepted. Such patients often expect the therapist to take responsibility for their suffering.In addition to exploring deployment as a kind of self organization, Dr. Moses-Hrushovski details her formulation of treatment approaches that enable her to build bridges to these patients and help them uncover and live with the feeling states that they are desperately trying to ward off."," Medical , General","Jason Aronson, Inc.","Saturday, January 1, 1994",Price Starting at $4.99
The Final Days,"By Bernstein, Carl and Woodward, Bob","The Final Days is the classic, behind-the-scenes account of Richard Nixon's dramatic last months as president. Moment by moment, Bernstein and Woodward portray the taut, post-Watergate White House as Nixon, his family, his staff, and many members of Congress strained desperately to prevent his inevitable resignation. This brilliant book reveals the ordeal of Nixon's fall from office -- one of the gravest crises in presidential history."," Philosophy , Ethics & Moral Philosophy",Simon & Schuster,"Saturday, May 1, 1976",Price Starting at $10.99
